77,3.7,South;West,1.085,1.085,NULL,3.7
93,6.105,South,6.105,0,NULL,6.105
114,3.5,NULL,NULL,NULL,NULL,3.5
171,6.25,West,NULL,6.25,NULL,6.25
187,5.25,West,NULL,5.25,NULL,5.25
252,5.145,South;West,2.205,2.94,NULL,5.145
364,6.25,South,6.25,0,NULL,6.25
370,6.105,South;West,2.035,4.07,NULL,6.105
483,5.76,South;West,2.88,2.88,0,5.76
499,NULL,NULL,NULL,NULL,NULL,0
545,3.15,South;West,1.4,1.75,NULL,3.15
585,4.995,West,NULL,4.995,NULL,4.995
624,4.5,NULL,NULL,NULL,NULL,4.5
661,6.3,South,6.3,NULL,NULL,6.3
668,6.37,South;West,3.92,2.45,NULL,6.37
744,5.92,South,5.92,0,NULL,5.92
781,5.8,NULL,NULL,NULL,NULL,5.8
861,4.25,South,4.25,0,NULL,4.25
890,6.25,South,6.25,0,NULL,6.25
974,6.5,NULL,NULL,NULL,NULL,6.5
1103,3.92,South;West,1.715,2.205,NULL,3.92
1169,3.885,South,3.885,0,0,3.885
1185,7.215,South;West,4.995,2.22,NULL,7.215
1192,6.25,South;West,3.25,3,NULL,6.25
1283,6.5,West;East,NULL,2,4.5,6.5
1415,3.885,South;West,1.85,2.035,NULL,3.885
1642,6.37,South;West,3.43,2.94,NULL,6.37
1697,5.98,South;West,3.68,2.3,NULL,5.98
1714,5.6,NULL,NULL,NULL,NULL,5.6
1718,5.88,South;West,2.45,3.43,NULL,5.88
1790,6.37,South;West,3.43,2.94,NULL,6.37
1791,5.98,South,5.98,NULL,NULL,5.98
1792,6.25,South;West,4,2.25,NULL,6.25
1800,9.99,South;West,4.995,4.995,NULL,9.99
1801,12.425,NULL,NULL,NULL,NULL,12.425
2018,7.8,South;West,4.68,3.12,NULL,7.8
2072,5,South;West,2.25,2.75,NULL,5
2094,6.105,South;West,2.035,4.07,NULL,6.105
2129,6.25,South;West,4,2.25,NULL,6.25
2199,4.995,South,4.995,0,0,4.995
2233,6.25,South,6.25,0,NULL,6.25
2335,5.92,South;West,4.44,1.48,NULL,5.92
2337,4.995,South,4.995,0,NULL,4.995
2361,NULL,NULL,NULL,NULL,NULL,0
2449,4.75,South,4.75,0,NULL,4.75
2461,8.175,South,8.175,NULL,NULL,8.175
2470,3.5,South,3.5,0,NULL,3.5
2557,5.17,NULL,NULL,NULL,NULL,5.17
2575,6.25,South,6.25,0,NULL,6.25
2638,4.655,South,4.655,0,NULL,4.655
2742,6.125,South;West,2.205,3.92,NULL,6.125
2755,6.125,South;West,NULL,2.94,NULL,6.125
2814,6.21,West,NULL,6.21,NULL,6.21
2818,5.39,South;West,2.695,2.695,NULL,5.39
2925,6.105,South;East,4.07,0,2.035,6.105
2945,5.145,South;West,NULL,2.035,NULL,5.145
2965,6.345,South;West,3.92,3.055,NULL,6.345
2980,5.145,South;West,2.94,2.205,NULL,5.145
2986,6.25,South;West,4,2.25,NULL,6.25
3009,6.25,South,6.25,NULL,NULL,6.25
3036,4.5,South;West,2.75,1.75,NULL,4.5
3039,6.25,West,0,6.25,0,6.25
3044,NULL,NULL,NULL,NULL,NULL,0
3126,NULL,NULL,NULL,NULL,NULL,0
3134,6.25,South;West,2.25,4,NULL,6.25
3192,6.105,South;West,4.07,2.035,NULL,6.105
3310,6.125,South;West,NULL,3.185,NULL,6.125
3367,5.88,West,NULL,5.88,NULL,5.88
3456,6.105,South;West,4.07,2.035,NULL,6.105
3482,5.13,West,NULL,5.13,NULL,5.13
3506,6.24,South,6.24,NULL,NULL,6.24
3527,5.92,South;West,4.44,1.48,NULL,5.92
3538,5.25,South;West,1.75,3.5,NULL,5.25
3635,6.86,South;West,3.43,3.43,NULL,6.86
3649,7.54,South,7.54,NULL,NULL,7.54
3719,6.25,South;West,NULL,2.25,NULL,6.25
3723,6.11,South;West,3.29,2.82,NULL,6.11
