"dataid","total_amount_of_pv","pv_panel_direction","amount_of_south_facing_pv","amount_of_west_facing_pv","amount_of_east_facing_pv"
6578,"6.25","South;West","4.0","2.25",NULL
6643,"5.75","South","5.75","0.0",NULL
6691,"5.2","South","5.2",NULL,NULL
6836,"3.43","South","3.43","0.0",NULL
6941,"6.0",NULL,NULL,NULL,NULL
6990,"6.615","South;West","3.43","3.185",NULL
7016,"6.105","South;West","4.07","2.035","0.0"
7017,"5.92","South;West","1.48","4.44",NULL
7024,NULL,NULL,NULL,NULL,NULL
7030,"5.25","South","5.25","0.0",NULL
7108,"4.25","South;West",NULL,"2.0",NULL
7429,"7.25","South;West","2.25","5.0",NULL
7504,"5.0","South;West","1.5","3.5",NULL
7510,"6.24",NULL,NULL,NULL,NULL
7536,"6.105","South;West","4.07","2.035",NULL
7560,"5.55","South","5.55","0.0","0.0"
7627,"5.712","South;West","2.856","2.856","0.0"
7680,"5.5","South;West",NULL,"2.0",NULL
7719,"6.3","South","6.3",NULL,NULL
7731,"5.88","South;West","1.96","3.92",NULL
7739,"5.0","South","5.0","0.0",NULL
7741,"6.125","South","6.125","0.0",NULL
7767,"5.92","South","5.92","0.0",NULL
7788,NULL,NULL,NULL,NULL,NULL
7793,NULL,NULL,NULL,NULL,NULL
7800,"5.145","South","5.145","0.0",NULL
7850,"6.0","South;West","2.5","3.5",NULL
7863,"6.25","South;West","4.0","2.25",NULL
7875,"4.1",NULL,NULL,NULL,NULL
7900,"6.27","South;West","2.59","3.68",NULL
7940,"5.25","West",NULL,"5.25",NULL
7965,"6.25","South;West","3.25","3.0",NULL
7973,"4.51","South;West","2.65","1.86",NULL
7989,"6.24","East",NULL,NULL,"6.24"
8059,NULL,NULL,NULL,NULL,NULL
8084,"8.84","South","8.84","0.0",NULL
8086,"5.635","West",NULL,"5.635",NULL
8092,NULL,NULL,NULL,NULL,NULL
8155,"6.25","South;West","3.0","3.25",NULL
8156,"6.7",NULL,NULL,NULL,NULL
8197,"9.6",NULL,NULL,NULL,NULL
8236,"6.25","South;West","4.0","2.25",NULL
8243,"4.5",NULL,NULL,NULL,NULL
8317,"2.94","South","2.94","0.0",NULL
8419,"4.07","South","4.07","0.0","0.0"
8467,"5.18","South","5.18","0.0",NULL
8626,"6.615","South","6.615","0.0",NULL
8645,"4.5",NULL,NULL,NULL,NULL
8669,"6.25","South;West",NULL,"2.25",NULL
8741,"3.2","South","3.2",NULL,NULL
8767,"4.07","South","4.07",NULL,NULL
8857,"11.13","South;West","1.855","9.275",NULL
8890,"5.64","South;West","3.525","2.115","0.0"
8967,"6.25","South;West","4.0","2.25",NULL
8995,NULL,NULL,NULL,NULL,NULL
9001,"6.325","South;West","0.55","5.775",NULL
9019,"2.88","South","2.88","0.0",NULL
9052,"6.0","South;West","3.25","2.75",NULL
9121,"6.125","South;West","2.94","3.185","0.0"
9134,"4.995","South","4.995",NULL,NULL
9160,"4.5","South;West","1.98","2.52",NULL
9235,"5.145","West","5.145",NULL,"0.0"
9248,NULL,NULL,NULL,NULL,NULL
9278,"6.9",NULL,NULL,NULL,NULL
9631,"4.41","South","4.41","0.0",NULL
9647,"6.3",NULL,NULL,NULL,NULL
9729,"6.37","South;West","2.45","3.92",NULL
9737,"10.4","South;East","2.6",NULL,"7.8"
9932,"5.2","South","5.2",NULL,NULL
9934,"12.0",NULL,NULL,NULL,NULL
9935,NULL,NULL,NULL,NULL,NULL
9942,"0.7","East",NULL,NULL,"0.7"
9971,"6.125","South;West","2.205","3.92",NULL
9982,"3.675","South","3.675",NULL,NULL
